ID1,HHID,HV000,HV001,HV002,HV002A,HV003,HV004,HV007,HV008,HV009,HV010,HV011,HV012,HV013,HV014,HV015,HV017,HV020,HV021,HV023,HV024,HV025,HV026,HV027,HV028,HV030,HV031,HV032,HV033,HV035,HV040,HV041,HV042,HV043,HV044,UBIGEO,HV022,HV005,CODCCPP,NOMCCPP,LATITUDY,LONGITUDX,NCONGLOME
2023,      000100601,PE6,1,6,1,2,1,2023,1478,6,2,0,5,6,1,1,1,0,1,1,1,1,1,0, ,0, ,0, ,1,2338,2,1,0,1,010101,3,85033,0001,CHACHAPOYAS,-6.22124851,-77.87403019,0706402
2023,      000101001,PE6,1,10,1,3,1,2023,1478,3,1,0,3,2,0,1,1,0,1,1,1,1,1,0, ,0, ,0, ,0,2338,1,1,0,1,010101,3,641709,0001,CHACHAPOYAS,-6.22124851,-77.87403019,0706402
2023,      000101901,PE6,1,19,1,2,1,2023,1478,4,0,0,4,3,1,1,1,0,1,1,1,1,1,0, ,0, ,0, ,1,2338,0,1,0,1,010101,3,85033,0001,CHACHAPOYAS,-6.22124851,-77.87403019,0706402
2023,      000102201,PE6,1,22,1,2,1,2023,1478,3,1,0,3,3,1,1,1,0,1,1,1,1,1,0, ,0, ,0, ,1,2338,1,1,0,1,010101,3,85033,0001,CHACHAPOYAS,-6.22124851,-77.87403019,0706402
2023,      000102801,PE6,1,28,1,1,1,2023,1478,3,1,0,3,3,1,1,1,0,1,1,1,1,1,0, ,0, ,0, ,1,2338,1,1,0,1,010101,3,85033,0001,CHACHAPOYAS,-6.22124851,-77.87403019,0706402
2023,      000106501,PE6,1,65,1,2,1,2023,1478,3,1,0,3,3,1,1,1,0,1,1,1,1,1,0, ,0, ,0, ,1,2338,1,1,0,1,010101,3,85033,0001,CHACHAPOYAS,-6.22124851,-77.87403019,0706402
2023,      000107501,PE6,1,75,1,0,1,2023,1480,0,0,0,0,0,0,3,5,0,1,1,1,1,1,0, ,0, ,0, ,0,2338,0,1,0,1,010101,3,0,0001,CHACHAPOYAS,-6.22124851,-77.87403019,0706402
2023,      000108001,PE6,1,80,1,1,1,2023,1478,4,1,0,4,4,1,1,1,0,1,1,1,1,1,0, ,0, ,0, ,1,2338,1,1,0,1,010101,3,85033,0001,CHACHAPOYAS,-6.22124851,-77.87403019,0706402
2023,      000108101,PE6,1,81,1,0,1,2023,1478,0,0,0,0,0,0,9,2,0,1,1,1,1,1,0, ,0, ,0, ,0,2338,0,1,0,1,010101,3,0,0001,CHACHAPOYAS,-6.22124851,-77.87403019,0706402
2023,      000108801,PE6,1,88,1,1,1,2023,1478,10,2,0,10,10,2,1,1,0,1,1,1,1,1,0, ,0, ,0, ,2,2338,2,1,0,1,010101,3,85033,0001,CHACHAPOYAS,-6.22124851,-77.87403019,0706402
2023,      000600601,PE6,6,6,1,1,6,2023,1480,1,0,0,1,1,0,1,1,0,6,1,1,1,1,0, ,0, ,0, ,0,2338,0,1,0,1,010101,2,760133,0001,CHACHAPOYAS,-6.235962549,-77.866991473,07099
2023,      000603301,PE6,6,33,1,2,6,2023,1480,3,1,0,3,3,1,1,1,0,6,1,1,1,1,0, ,0, ,0, ,1,2338,1,1,0,1,010101,2,100726,0001,CHACHAPOYAS,-6.235962549,-77.866991473,07099
2023,      000604101,PE6,6,41,1,1,6,2023,1480,7,2,0,6,7,2,1,1,0,6,1,1,1,1,0, ,0, ,0, ,2,2338,2,1,0,1,010101,2,100726,0001,CHACHAPOYAS,-6.235962549,-77.866991473,07099
2023,      000604201,PE6,6,42,1,2,6,2023,1480,6,3,0,4,6,1,1,1,0,6,1,1,1,1,0, ,0, ,0, ,1,2338,3,1,0,1,010101,2,100726,0001,CHACHAPOYAS,-6.235962549,-77.866991473,07099
2023,      000609201,PE6,6,92,1,1,6,2023,1480,3,1,0,3,3,1,1,1,0,6,1,1,1,1,0, ,0, ,0, ,1,2338,1,1,0,1,010101,2,100726,0001,CHACHAPOYAS,-6.235962549,-77.866991473,07099
2023,      000610801,PE6,6,108,1,0,6,2023,1480,0,0,0,0,0,0,6,2,0,6,1,1,1,1,0, ,0, ,0, ,0,2338,0,1,0,1,010101,2,0,0001,CHACHAPOYAS,-6.235962549,-77.866991473,07099
2023,      000612301,PE6,6,123,1,1,6,2023,1480,5,1,0,5,5,1,1,1,0,6,1,1,1,1,0, ,0, ,0, ,1,2338,1,1,0,1,010101,2,100726,0001,CHACHAPOYAS,-6.235962549,-77.866991473,07099
2023,      000613701,PE6,6,137,1,2,6,2023,1480,7,1,0,7,7,1,1,2,0,6,1,1,1,1,0, ,0, ,0, ,1,2338,1,1,0,1,010101,2,100726,0001,CHACHAPOYAS,-6.235962549,-77.866991473,07099
2023,      000617401,PE6,6,174,1,1,6,2023,1480,1,0,0,1,1,0,1,1,0,6,1,1,1,1,0, ,0, ,0, ,0,2338,0,1,0,1,010101,2,760133,0001,CHACHAPOYAS,-6.235962549,-77.866991473,07099
2023,      000617801,PE6,6,178,1,2,6,2023,1480,4,2,0,4,4,1,1,1,0,6,1,1,1,1,0, ,0, ,0, ,0,2338,2,1,0,1,010101,2,760133,0001,CHACHAPOYAS,-6.235962549,-77.866991473,07099
2023,      000702601,PE6,7,26,1,0,7,2023,1479,0,0,0,0,0,0,6,4,0,7,1,1,1,1,0, ,0, ,0, ,0,2338,0,1,0,1,010101,4,0,0001,CHACHAPOYAS,-6.218497082,-77.859391171,48515
2023,      000703301,PE6,7,33,1,3,7,2023,1479,5,1,0,5,5,1,1,1,0,7,1,1,1,1,0, ,0, ,0, ,1,2338,1,1,0,1,010101,4,97716,0001,CHACHAPOYAS,-6.218497082,-77.859391171,48515
2023,      000705001,PE6,7,50,1,1,7,2023,1479,4,2,0,4,4,1,1,1,0,7,1,1,1,1,0, ,0, ,0, ,1,2338,2,1,0,1,010101,4,97716,0001,CHACHAPOYAS,-6.218497082,-77.859391171,48515
2023,      000706801,PE6,7,68,1,1,7,2023,1479,8,3,0,8,8,1,1,1,0,7,1,1,1,1,0, ,0, ,0, ,1,2338,3,1,0,1,010101,4,97716,0001,CHACHAPOYAS,-6.218497082,-77.859391171,48515
2023,      000707801,PE6,7,78,1,2,7,2023,1479,6,1,0,6,5,2,1,1,0,7,1,1,1,1,0, ,0, ,0, ,2,2338,1,1,0,1,010101,4,97716,0001,CHACHAPOYAS,-6.218497082,-77.859391171,48515
2023,      000709201,PE6,7,92,1,2,7,2023,1479,3,1,0,3,3,0,1,1,0,7,1,1,1,1,0, ,0, ,0, ,0,2338,1,1,0,1,010101,4,737424,0001,CHACHAPOYAS,-6.218497082,-77.859391171,48515
2023,      000711001,PE6,7,110,1,0,7,2023,1479,0,0,0,0,0,0,9,5,0,7,1,1,1,1,0, ,0, ,0, ,0,2338,0,1,0,1,010101,4,0,0001,CHACHAPOYAS,-6.218497082,-77.859391171,48515
2023,      000711301,PE6,7,113,1,2,7,2023,1479,4,1,0,4,4,1,1,1,0,7,1,1,1,1,0, ,0, ,0, ,1,2338,1,1,0,1,010101,4,97716,0001,CHACHAPOYAS,-6.218497082,-77.859391171,48515
2023,      000711401,PE6,7,114,1,1,7,2023,1479,6,2,0,6,6,1,1,1,0,7,1,1,1,1,0, ,0, ,0, ,1,2338,2,1,0,1,010101,4,97716,0001,CHACHAPOYAS,-6.218497082,-77.859391171,48515
